key,value,title,screenshot,wip
volunteer_portal.menu.settings,Ajustes,,,TRUE
volunteer_portal.dashboard.personal,Personal,Label referring to who the number of hours belong to,,TRUE
volunteer_portal.dashboard.layouttab.calendar,Calendario,Clickable tab that displays the Calendar View,https://drive.google.com/open?id=1TEM84-1i6-GgF7N4cJuoTouGgCi0HC_f,TRUE
volunteer_portal.dashboard.layouttab.dashboard,Panel,Clickable tab that displays the Dashboard View,https://drive.google.com/open?id=17xYrax65oH20lvlK6Cdd9flO1MVUp2-4,TRUE
volunteer_portal.dashboard.layouttab.myevents,Mis eventos,Clickable tab that displays the user related events,https://drive.google.com/open?id=1sbs3Uo2e764YFh40Na2DQsdahVD2W-Ne,TRUE
volunteer_portal.dashboard.layoutdatetab.today,Hoy,Clickable text that will show the calendar with today's date,https://drive.google.com/open?id=1pO28Ugnx0UGXP5E3dM8y0LpogdPc5Cnt,TRUE
volunteer_portal.dashboard.layouteventstab.show,Mostrar:,Text refering to what events to show My Events or All Events,https://drive.google.com/open?id=1p9A8huzT8xpJmwKY6P_Ci4sqC6uh7r_t,TRUE
volunteer_portal.dashboard.layouteventstab.show_all,Todos,Dropdown to choose between seeing All Events or My Events only,https://drive.google.com/open?id=1lsq8KegHPQ34zhTJKvUsQTXro9dV3Ic6,TRUE
volunteer_portal.dashboard.layouteventstab.show_myevents,Mis eventos,Dropdown to choose between seeing All Events or My Events only,https://drive.google.com/open?id=1gshUUNWv0KL4idMo_e4DdYweouTdLwRl,TRUE
volunteer_portal.dashboard.layouteventstab.event,Eventos:,"Text refering to what events to show Open, Full or All",https://drive.google.com/open?id=1GgUV7v5EoMrY5NP2q3ksQRxZZM6ercUG,TRUE
volunteer_portal.dashboard.layouteventstab.event_all,Todos,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=112x7kr7hckUNBbsXqSEbU7HwRYko8KOW,TRUE
volunteer_portal.dashboard.layouteventstab.event_open,Abiertos,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=1zJjGC180wYoZA_7QifaQMLtAZDnT3GBl,TRUE
volunteer_portal.dashboard.layouteventstab.event_full,Lleno,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=1FiTovVMi8v6-GnfLeAyLVJxwkkHvI8eP,TRUE
volunteer_portal.dashboard.layouteventstab.office,Oficina:,Text refering to what office events to show whether one specific city or All cities,https://drive.google.com/open?id=11wK-cIUOnyBhcAUd639IXvEyhrAQ_6kK,TRUE
volunteer_portal.dashboard.layouteventstab.office_all,Todos,Dropdown to choose between seeing events in All cities or one in specific,https://drive.google.com/open?id=1OzKPa8-smgMHXg8G3dnqXyw3RiB7PM8j,TRUE
volunteer_portal.admin.tab.office,Oficina:,Text refering to what office events to show whether one specific city or All cities,https://drive.google.com/open?id=1DT8S0VLfRy68pNDWZ15YmWclQYFuG5LH,TRUE
volunteer_portal.admin.tab.office_all,Todos,Dropdown to choose between seeing events in All cities or one in specific,https://drive.google.com/open?id=16hA6lNYl0pB4qoSf6EzaekQgYfEHlT40,TRUE
volunteer_portal.admin.tab.dashboard,Panel,Clickable tab that displays the administrator Dashboard View,https://drive.google.com/open?id=1CDtmITTBBL_oWPpSfw9WyCAZteHXh0HH,TRUE
volunteer_portal.admin.tab.events,Eventos,Clickable tab that displays the administrator Events View,https://drive.google.com/open?id=1hog3if5Cu3egwE4G_CdoDipkZQwcpmD-,TRUE
volunteer_portal.admin.tab.eventtypes,Tipos de eventos,Clickable tab that displays the administrator Event Types View,https://drive.google.com/open?id=1p5l0rZo-2pFQITAXFMy45CFcc5gV0GFK,TRUE
volunteer_portal.admin.tab.tags,Etiquetas,Clickable tab that displays the administrator Tags View,,TRUE
volunteer_portal.admin.tab.offices,Oficinas,Clickable tab that displays the administrator Offices View,https://drive.google.com/open?id=1f9nZnTUKQaMnpNquc1VqdH6sKvryNJ4W,TRUE
volunteer_portal.admin.tab.organizations,Organizaciones,Clickable tab that displays the administrator Organizations View,https://drive.google.com/open?id=1F1sxXNsCd-2AtR-4unVZPOLK1P7l8zwt,TRUE
volunteer_portal.admin.tab.individualevents,Eventos individuales,Clickable tab that displays the administrator Individual Events View,https://drive.google.com/open?id=1qVwYdnBDhMRR9l3eqx-yyHTWPchQDHiJ,TRUE
volunteer_portal.admin.tab.users,Usuarios,Clickable tab that displays the administrator Users View,https://drive.google.com/open?id=1bQIlk90OYX9FDR8lZU1p_aR3o3jlr0cm,TRUE
